Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Treatment,Low Value,194.60187609907672,297.5462403754739,60.152689854920766,66.04752684806084,No
Control,Low Value,168.28111563803105,196.73219968900204,49.07561854,60.92100222,Yes
Control,Low Value,206.2075782949877,246.8092320601311,65.62984067953435,55.11224946808452,No
Control,Medium Value,259.2454344297936,304.7524483060336,71.67537857630008,87.46619316498128,No
Treatment,Low Value,196.7596615988324,297.23340963987107,49.32910298261449,63.388931901264165,No
Treatment,Low Value,205.6312535697737,328.07201744902534,54.168957175685904,57.88717142118193,No
Control,Medium Value,248.3129256709232,297.37175891290315,66.23400688726468,76.57025473051566,No
Control,High Value,323.7352427281251,388.2986785191189,87.10404905050979,89.59216829864113,No
Control,Low Value,305.1327442389524,359.24856371600407,48.29817120828685,63.08483572048428,No
Treatment,Medium Value,183.2024043242745,276.6444146358106,69.54584259301946,51.206894141399786,No
Control,Medium Value,203.0230647168259,230.3206913577801,68.10848038116504,86.39473207252763,Yes
Control,Medium Value,187.76317303450915,222.2979884958473,58.78438001694438,48.07867179073448,No
Control,High Value,329.0985361296583,399.8218253119719,90.55085788015474,98.83626790957612,No
Control,Medium Value,161.72615387815424,193.4623581060522,78.26030140784043,81.26990223551525,Yes
Treatment,Low Value,179.94864333946012,280.57656215759243,63.11213554954435,60.05129096474693,Yes
Control,High Value,234.9003459153637,272.2967341196368,73.49704193996068,93.44006481,No
Treatment,Low Value,163.5111561631288,253.065770061586,62.61580065,69.79966329214209,Yes
Control,Medium Value,282.62241360429994,332.60550376943684,70.56142545212425,77.69213803556865,No
Treatment,Low Value,250.57045077672416,390.9042847696528,62.84301237722392,70.88676237714472,Yes
Treatment,Medium Value,197.63730537307012,307.4935427010772,72.02988576780744,82.44807658,No
Control,Medium Value,229.60741597101625,274.6528500705717,84.19683417,88.80587780324802,Yes
Control,Low Value,255.9195306245501,302.9772297263298,48.53538907,53.76058171378768,Yes
Control,High Value,207.20765607104852,242.9664330258547,100.0,100.0,Yes
Control,Medium Value,202.84140999001812,237.04046476966647,79.11872517064275,68.53986952678729,Yes
Control,Low Value,237.2518247743429,283.1910411184062,44.0098552486452,58.62970579828624,Yes
Treatment,Medium Value,248.4201580550149,392.6899985606979,65.84835268211854,76.37384863932493,Yes
Control,Low Value,186.9003324044844,209.22519652632585,66.70351017001624,76.0,Yes
Control,Low Value,126.65590528458738,148.17989219535554,56.95217905188396,67.50197131647323,Yes
Control,High Value,326.3480780750055,397.86387142666223,82.53199462800829,81.44524634395529,No
Control,Medium Value,239.00780169343463,282.8794762706318,83.66569058075538,91.04887386306572,No
Treatment,High Value,231.9378854256688,348.72030302487855,74.09488951478961,87.09447182653584,Yes
Treatment,Medium Value,187.6693042,292.49360736425075,76.78882236006126,73.29597158375756,No
Control,Low Value,191.99188895024665,228.1891821479332,47.77378568811779,50.13339943455314,Yes
Control,High Value,270.499651,314.5438099934403,80.38136935275148,100.0,Yes
Control,Medium Value,212.18363073678952,250.8806091,83.57556325191088,89.4012808,Yes
Treatment,Low Value,215.15040271220823,333.4251589214882,54.67589161472887,47.01298015403332,No
Control,Medium Value,240.4856998261792,283.90634187792693,72.59757860080877,96.63828487213205,No
Treatment,Low Value,259.05787848247525,403.0020965215014,59.54786053966552,59.75161440643931,Yes
Control,High Value,107.90449751536325,127.24546619792808,92.10631636190472,100.0,No
Treatment,Low Value,200.9930225163436,309.5339286252711,58.85705523608159,62.70766071399635,Yes
Treatment,Medium Value,264.3832659385305,396.3483303280816,70.84123842562575,65.54515593311139,No
Control,High Value,323.1631090689235,393.5272461898988,70.27415834417475,80.55155608131845,Yes
Treatment,Medium Value,300.68796812670325,458.2871301356084,51.66943537312476,49.12430243282798,No
Treatment,High Value,214.45737121059625,329.47998330678587,91.72283417537392,72.14728694714202,Yes
Treatment,High Value,215.3574865999657,343.2387777553997,73.00136795354203,100.0,Yes
Treatment,Medium Value,247.2040281590604,359.7078901133861,73.39443446906287,87.02496420936744,Yes
Control,Low Value,174.5474966395864,212.98676876540983,53.32173652452155,51.28274240761578,No
Treatment,High Value,197.9124476681188,295.30760214026793,79.79550990921337,66.50060718820143,No
Control,High Value,321.2141689807734,375.8395873173623,74.70052590841104,57.24414752710289,No
Treatment,High Value,182.0320815433751,280.40549898392464,84.35591888300452,66.40042246040954,Yes
Control,Medium Value,320.80234330005914,390.6566390793541,92.64636098071888,100.0,No
Treatment,Medium Value,251.81804072401752,410.8735153191716,57.40553901890467,52.64921458520681,No
Treatment,Medium Value,233.2126793281545,361.83325768512265,64.23511053778829,80.92417995,No
Control,Low Value,147.27387715310508,165.86228734290958,44.744021647665214,56.40611827603481,No
Control,High Value,331.43334179527847,399.1245951128879,88.90079103425404,73.92144865,Yes
Control,Medium Value,178.55282315575843,214.9109833432668,60.92675066473166,77.24873786203904,No
Control,High Value,159.33541639139946,188.3813165682377,92.25753663896415,98.71419696124978,Yes
Treatment,Low Value,214.8844774505164,321.3826911071868,54.23159162189106,57.15404873965272,No
Treatment,Medium Value,253.25142523431228,380.9167271333867,65.68089469291964,75.25790858360797,No
Control,Medium Value,199.0059719198956,235.92118866505945,70.98096829641482,74.08117203034844,No
Control,Low Value,211.60846840728675,249.62237797989428,43.49525700032546,53.33472457238639,No
Treatment,High Value,352.6332062948404,543.2755436868388,99.15666978491664,100.0,No
Control,Low Value,207.38000998211817,245.170333282464,30.478493382316845,43.96432833354115,No
Treatment,Low Value,214.9331113566497,339.5051904866741,59.3840219,69.81506161098305,Yes
Control,High Value,164.76363663449962,200.48026271560383,83.31364167655163,88.88170490855958,No
Control,Low Value,331.5383095775205,396.1823083906134,61.24228385281804,70.97876259754608,Yes
Control,Medium Value,250.9042245161429,301.90126998620644,73.64061657620027,65.68354717036095,No
Treatment,Medium Value,261.9636791041788,410.2847607418671,72.96521720352611,75.41613062,Yes
Control,Medium Value,119.8458902855166,135.68618010073197,79.64489187371927,79.65503457030015,Yes
Treatment,Low Value,175.68070563254992,268.65801759634286,63.33293390882295,58.75497322035874,Yes
Control,Low Value,245.2359068462582,291.50907522311235,58.051775381557206,70.51379861843704,Yes
Treatment,Low Value,175.70382705911896,273.23955145864244,59.68239049209101,55.99528171348494,No
Control,High Value,309.22877454269366,364.1955481875085,100.0,86.93140011742136,Yes
Control,High Value,198.1879724866534,239.4575378,94.24555352826032,87.87463351894532,No
Control,Low Value,319.3311694,376.0063676774059,55.94361014052909,60.99534593046712,Yes
Treatment,High Value,275.4718167015212,421.3623134721941,95.07676881955314,79.09221494955925,No
Control,Low Value,148.02211310015937,173.1112861393894,69.29546481735181,76.0,Yes
Control,Low Value,243.10175474654284,290.8447059167659,66.58722978395762,76.0,No
Treatment,Medium Value,208.43704181012467,312.26361270185623,77.00098720303062,77.86100557790411,No
Control,Medium Value,222.85107663426925,269.9040781671914,56.25917610176968,66.12604957,No
Control,Medium Value,288.7599497869121,345.7288978734898,67.33639335760888,78.39234030718974,No
Treatment,Low Value,191.7113200687549,306.90284417493297,58.30074787292976,70.20024991399384,Yes
Control,Medium Value,309.52093030780827,375.3580422494404,67.41991176598485,81.96209793547791,No
Treatment,High Value,203.84622026439388,316.89695559556594,97.54454543980242,99.94394261264294,Yes
Control,High Value,294.9853004879344,346.2632525276814,94.98554769763471,100.0,No
Control,Low Value,144.02860535282252,171.30624649527837,42.47012489404531,38.62926950461559,Yes
Control,Medium Value,231.0261838805212,272.2918771314017,60.78119023591241,55.53496288777205,Yes
